date,1. open,2. high,3. low,4. close,5. volume
2019-08-02 09:31:00,65.5,65.6,65.49,65.6,104735.0
2019-08-02 09:32:00,65.6,65.61,65.43,65.54,20538.0
2019-08-02 09:33:00,65.6292,65.785,65.48,65.48,20030.0
2019-08-02 09:34:00,65.47,65.6,65.42,65.6,23268.0
2019-08-02 09:35:00,65.5826,65.67,65.54,65.6,16242.0
2019-08-02 09:36:00,65.61,65.67,65.4601,65.52,18821.0
2019-08-02 09:37:00,65.49,65.69,65.49,65.66,19811.0
2019-08-02 09:38:00,65.68,65.7,65.57,65.7,19264.0
2019-08-02 09:39:00,65.69,65.77,65.66,65.67,12190.0
2019-08-02 09:40:00,65.685,65.74,65.65,65.7333,14808.0
2019-08-02 09:41:00,65.75,65.78,65.68,65.7,16444.0
2019-08-02 09:42:00,65.68,65.73,65.65,65.72,7932.0
2019-08-02 09:43:00,65.71,65.71,65.58,65.58,23952.0
2019-08-02 09:44:00,65.59,65.66,65.57,65.58,8267.0
2019-08-02 09:45:00,65.57,65.6,65.52,65.58,54288.0
2019-08-02 09:46:00,65.565,65.63,65.55,65.6,32571.0
2019-08-02 09:47:00,65.59,65.6599,65.59,65.62,12446.0
2019-08-02 09:48:00,65.63,65.64,65.45,65.465,41186.0
2019-08-02 09:49:00,65.475,65.55,65.43,65.55,44323.0
2019-08-02 09:50:00,65.57,65.5987,65.54,65.56,15860.0
2019-08-02 09:51:00,65.56,65.58,65.52,65.53,20135.0
2019-08-02 09:52:00,65.52,65.54,65.47,65.477,13761.0
2019-08-02 09:53:00,65.47,65.515,65.46,65.46,15750.0
2019-08-02 09:54:00,65.45,65.58,65.45,65.54,29661.0
2019-08-02 09:55:00,65.54,65.61,65.5294,65.57,34419.0
2019-08-02 09:56:00,65.57,65.605,65.54,65.6,11063.0
2019-08-02 09:57:00,65.58,65.59,65.5388,65.57,18566.0
2019-08-02 09:58:00,65.555,65.59,65.515,65.59,19102.0
2019-08-02 09:59:00,65.59,65.59,65.52,65.52,9910.0
2019-08-02 10:00:00,65.52,65.56,65.5,65.5463,23389.0
2019-08-02 10:01:00,65.55,65.57,65.53,65.54,18920.0
2019-08-02 10:02:00,65.55,65.58,65.41,65.43,26486.0
2019-08-02 10:03:00,65.41,65.44,65.409,65.43,7573.0
2019-08-02 10:04:00,65.433,65.44,65.37,65.37,39011.0
2019-08-02 10:05:00,65.36,65.39,65.25,65.28,26903.0
2019-08-02 10:06:00,65.2734,65.325,65.2734,65.2852,11767.0
2019-08-02 10:07:00,65.285,65.3,65.27,65.27,10405.0
2019-08-02 10:08:00,65.2796,65.2931,65.26,65.26,17409.0
2019-08-02 10:09:00,65.26,65.29,65.22,65.23,23776.0
2019-08-02 10:10:00,65.23,65.3,65.23,65.28,23950.0
2019-08-02 10:11:00,65.28,65.3722,65.27,65.35,28993.0
2019-08-02 10:12:00,65.28,65.28,65.28,65.28,38200.0
2019-08-02 10:13:00,65.2876,65.31,65.27,65.275,18945.0
2019-08-02 10:14:00,65.28,65.39,65.25,65.38,62053.0
2019-08-02 10:15:00,65.35,65.3707,65.32,65.33,26909.0
2019-08-02 10:16:00,65.33,65.33,65.26,65.26,23277.0
2019-08-02 10:17:00,65.27,65.34,65.23,65.31,27770.0
2019-08-02 10:18:00,65.32,65.32,65.29,65.32,15964.0
2019-08-02 10:19:00,65.32,65.34,65.25,65.25,14016.0
2019-08-02 10:20:00,65.26,65.3,65.22,65.25,29789.0
2019-08-02 10:21:00,65.24,65.3,65.24,65.2833,27963.0
2019-08-02 10:22:00,65.27,65.41,65.27,65.38,38050.0
2019-08-02 10:23:00,65.394,65.435,65.35,65.435,34762.0
2019-08-02 10:24:00,65.435,65.51,65.41,65.51,17715.0
2019-08-02 10:25:00,65.51,65.52,65.45,65.45,48766.0
