date,1. open,2. high,3. low,4. close,5. volume
2019-08-02 09:31:00,198.935,199.1,197.85,198.365,36011.0
2019-08-02 09:32:00,198.44,198.8,197.86,198.345,7525.0
2019-08-02 09:33:00,198.465,199.9992,198.465,199.4283,8982.0
2019-08-02 09:34:00,199.51,201.87,199.08,201.42,12685.0
2019-08-02 09:35:00,201.03,201.97,201.03,201.42,7126.0
2019-08-02 09:36:00,201.545,201.55,200.44,200.44,2906.0
2019-08-02 09:37:00,200.43,200.86,200.005,200.02,5413.0
2019-08-02 09:38:00,200.7,200.84,200.2458,200.5,7289.0
2019-08-02 09:39:00,200.8,202.0,200.8,201.94,4178.0
2019-08-02 09:40:00,201.92,202.99,201.92,202.565,10676.0
2019-08-02 09:41:00,202.48,204.0,201.8801,203.314,14352.0
2019-08-02 09:42:00,203.43,203.735,203.38,203.4075,4145.0
2019-08-02 09:43:00,203.52,204.82,203.52,204.755,6352.0
2019-08-02 09:44:00,204.5,204.82,203.9201,204.2,5854.0
2019-08-02 09:45:00,203.06,204.2817,203.06,203.9501,2540.0
2019-08-02 09:46:00,204.0,204.0,201.885,201.885,4676.0
2019-08-02 09:47:00,201.89,202.5,201.89,201.9,5127.0
2019-08-02 09:48:00,201.56,201.6012,201.21,201.41,3107.0
2019-08-02 09:49:00,201.415,201.53,201.02,201.53,4030.0
2019-08-02 09:50:00,201.23,201.5,201.17,201.5,1545.0
2019-08-02 09:51:00,201.48,201.66,201.31,201.32,5045.0
2019-08-02 09:52:00,201.455,201.455,201.04,201.29,3908.0
2019-08-02 09:53:00,201.52,201.52,201.25,201.25,1243.0
2019-08-02 09:54:00,201.14,201.73,201.14,201.51,6595.0
2019-08-02 09:55:00,201.72,202.5661,201.72,202.5661,1961.0
2019-08-02 09:56:00,202.235,202.485,202.12,202.485,471.0
2019-08-02 09:57:00,202.23,202.43,201.8,202.15,5328.0
2019-08-02 09:58:00,202.03,202.5,201.95,202.5,4280.0
2019-08-02 09:59:00,202.615,202.615,201.865,201.865,1589.0
2019-08-02 10:00:00,201.7,201.885,201.01,201.37,8104.0
2019-08-02 10:01:00,200.9335,201.67,200.8,201.23,4720.0
2019-08-02 10:02:00,201.425,201.425,200.91,200.91,3398.0
2019-08-02 10:03:00,201.005,201.62,200.91,201.33,6065.0
2019-08-02 10:04:00,201.74,201.94,201.74,201.94,993.0
2019-08-02 10:05:00,201.75,201.75,201.56,201.75,1327.0
