date,1. open,2. high,3. low,4. close,5. volume
2019-08-02 09:31:00,85.95,85.99,85.7,85.9,0.0
2019-08-02 09:32:00,85.88,85.88,85.69,85.81,8544.0
2019-08-02 09:33:00,85.86,85.92,85.6,85.6,14870.0
2019-08-02 09:34:00,85.6,85.75,85.57,85.66,18309.0
2019-08-02 09:35:00,85.7,85.81,85.68,85.76,9289.0
2019-08-02 09:36:00,85.74,85.825,85.58,85.65,10316.0
2019-08-02 09:37:00,85.66,85.885,85.66,85.82,11755.0
2019-08-02 09:38:00,85.82,85.82,85.64,85.69,7889.0
2019-08-02 09:39:00,85.64,85.7599,85.62,85.72,7322.0
2019-08-02 09:40:00,85.705,85.8835,85.705,85.84,7577.0
2019-08-02 09:41:00,85.84,85.84,85.73,85.81,4581.0
2019-08-02 09:42:00,85.76,85.8416,85.735,85.83,8891.0
2019-08-02 09:43:00,85.84,85.84,85.73,85.73,10068.0
2019-08-02 09:44:00,85.72,85.79,85.66,85.68,4466.0
2019-08-02 09:45:00,85.65,85.735,85.64,85.68,8018.0
2019-08-02 09:46:00,85.68,85.73,85.58,85.73,54769.0
2019-08-02 09:47:00,85.73,85.73,85.63,85.67,19357.0
2019-08-02 09:48:00,85.66,85.66,85.41,85.43,27788.0
2019-08-02 09:49:00,85.4401,85.4401,85.37,85.42,17164.0
2019-08-02 09:50:00,85.42,85.45,85.35,85.37,12036.0
2019-08-02 09:51:00,85.36,85.52,85.36,85.44,13673.0
2019-08-02 09:52:00,85.4,85.43,85.31,85.314,4678.0
2019-08-02 09:53:00,85.3,85.33,85.22,85.27,12651.0
2019-08-02 09:54:00,85.3,85.43,85.2974,85.35,5855.0
2019-08-02 09:55:00,85.33,85.37,85.285,85.285,5283.0
2019-08-02 09:56:00,85.32,85.32,85.2001,85.22,7942.0
2019-08-02 09:57:00,85.2,85.22,85.13,85.13,13550.0
2019-08-02 09:58:00,85.11,85.285,85.11,85.26,12776.0
2019-08-02 09:59:00,85.24,85.24,85.12,85.134,5891.0
2019-08-02 10:00:00,85.12,85.18,85.12,85.15,14178.0
2019-08-02 10:01:00,85.16,85.33,85.145,85.32,25505.0
2019-08-02 10:02:00,85.33,85.42,85.24,85.26,12875.0
2019-08-02 10:03:00,85.26,85.275,85.21,85.27,9372.0
2019-08-02 10:04:00,85.26,85.35,85.245,85.245,7593.0
2019-08-02 10:05:00,85.245,85.32,85.22,85.31,32131.0
2019-08-02 10:06:00,85.305,85.35,85.305,85.325,7028.0
2019-08-02 10:07:00,85.33,85.35,85.305,85.305,18827.0
2019-08-02 10:08:00,85.31,85.36,85.29,85.345,14968.0
2019-08-02 10:09:00,85.345,85.42,85.3,85.3,14803.0
2019-08-02 10:10:00,85.3,85.3,85.2159,85.25,8087.0
2019-08-02 10:11:00,85.22,85.27,85.175,85.175,9917.0
2019-08-02 10:12:00,85.17,85.175,85.09,85.105,10523.0
2019-08-02 10:13:00,85.105,85.175,85.105,85.135,13529.0
2019-08-02 10:14:00,85.1361,85.25,85.08,85.25,19669.0
2019-08-02 10:15:00,85.245,85.25,85.18,85.2,18739.0
2019-08-02 10:16:00,85.195,85.195,85.12,85.12,10414.0
2019-08-02 10:17:00,85.13,85.25,85.11,85.25,14879.0
2019-08-02 10:18:00,85.25,85.29,85.2,85.235,27052.0
2019-08-02 10:19:00,85.235,85.2847,85.22,85.22,39267.0
2019-08-02 10:20:00,85.215,85.23,85.14,85.14,12121.0
2019-08-02 10:21:00,85.165,85.2,85.15,85.17,5307.0
2019-08-02 10:22:00,85.16,85.22,85.15,85.18,10146.0
2019-08-02 10:23:00,85.1703,85.23,85.1703,85.22,4011.0
2019-08-02 10:24:00,85.23,85.26,85.21,85.24,8725.0
2019-08-02 10:25:00,85.2403,85.28,85.225,85.225,6231.0
2019-08-02 10:26:00,85.23,85.23,85.13,85.13,10015.0
2019-08-02 10:27:00,85.16,85.23,85.16,85.23,8125.0
