date,1. open,2. high,3. low,4. close,5. volume
2019-08-02 09:31:00,17.22,17.29,17.22,17.23,0.0
2019-08-02 09:32:00,17.22,17.22,17.08,17.08,26915.0
2019-08-02 09:33:00,17.1,17.17,17.1,17.14,14271.0
2019-08-02 09:34:00,17.15,17.15,17.07,17.07,12216.0
2019-08-02 09:35:00,17.07,17.12,17.07,17.0827,23612.0
2019-08-02 09:36:00,17.08,17.095,17.06,17.06,15544.0
2019-08-02 09:37:00,17.05,17.05,17.0,17.01,24072.0
2019-08-02 09:38:00,17.01,17.01,16.99,17.01,9420.0
2019-08-02 09:39:00,17.0,17.02,16.98,17.0,15355.0
2019-08-02 09:40:00,17.005,17.03,17.005,17.01,10873.0
2019-08-02 09:41:00,17.02,17.04,17.01,17.04,16592.0
2019-08-02 09:42:00,17.05,17.055,17.04,17.045,8858.0
2019-08-02 09:43:00,17.04,17.075,17.02,17.06,21421.0
2019-08-02 09:44:00,17.06,17.075,17.03,17.03,4772.0
2019-08-02 09:45:00,17.03,17.05,17.025,17.05,14634.0
2019-08-02 09:46:00,17.04,17.05,17.03,17.05,7721.0
2019-08-02 09:47:00,17.04,17.055,17.01,17.05,20068.0
2019-08-02 09:48:00,17.05,17.05,17.01,17.03,9515.0
2019-08-02 09:49:00,17.02,17.05,17.02,17.05,8415.0
2019-08-02 09:50:00,17.045,17.06,17.045,17.05,3664.0
2019-08-02 09:51:00,17.05,17.065,17.04,17.04,8513.0
2019-08-02 09:52:00,17.04,17.045,17.025,17.025,7751.0
2019-08-02 09:53:00,17.03,17.04,16.99,16.995,11990.0
2019-08-02 09:54:00,17.0,17.0,16.98,16.98,6403.0
2019-08-02 09:55:00,16.985,16.995,16.94,16.94,14094.0
2019-08-02 09:56:00,16.9461,16.97,16.94,16.965,6760.0
2019-08-02 09:57:00,16.96,16.99,16.96,16.99,10264.0
2019-08-02 09:58:00,16.995,17.02,16.995,17.02,9438.0
2019-08-02 09:59:00,17.025,17.025,17.005,17.01,7642.0
2019-08-02 10:00:00,17.0011,17.02,16.995,17.015,13042.0
2019-08-02 10:01:00,17.02,17.02,17.005,17.01,12457.0
2019-08-02 10:02:00,17.01,17.025,17.0,17.0,11965.0
2019-08-02 10:03:00,17.0,17.02,16.985,17.015,22222.0
2019-08-02 10:04:00,17.02,17.02,16.99,16.99,9673.0
2019-08-02 10:05:00,16.99,16.9968,16.99,16.995,2201.0
2019-08-02 10:06:00,16.995,17.02,16.995,17.015,30348.0
2019-08-02 10:07:00,17.015,17.02,17.01,17.015,8209.0
2019-08-02 10:08:00,17.01,17.02,17.01,17.02,3669.0
2019-08-02 10:09:00,17.02,17.05,17.01,17.045,23733.0
2019-08-02 10:10:00,17.045,17.06,17.045,17.0501,10697.0
2019-08-02 10:11:00,17.05,17.05,17.04,17.045,26964.0
2019-08-02 10:12:00,17.045,17.06,17.04,17.05,19028.0
2019-08-02 10:13:00,17.045,17.06,17.045,17.055,11818.0
2019-08-02 10:14:00,17.055,17.06,17.05,17.05,11147.0
2019-08-02 10:15:00,17.055,17.075,17.05,17.075,18110.0
2019-08-02 10:16:00,17.075,17.08,17.06,17.06,9676.0
2019-08-02 10:17:00,17.06,17.065,17.05,17.06,7208.0
